Cars,Price,Mileage
2017 Honda Accord Hybrid 4dr Sdn Touring,"$23,999","Mileage 101,000 km"
2015 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,"$23,951","Mileage 112,000 km"
2018 Honda Accord Sedan LX CVT,"$23,500","Mileage 58,000 km"
2016 Audi A4 4dr Sdn Auto Progressiv plus quattro,"$23,000","Mileage 75,000 km"
2018 Mercedes-Benz CLA-Class CLA 250 4MATIC Coupe,"$23,000","Mileage 52,900 km"
2019 Toyota Corolla SE CVT,"$22,999","Mileage 7,000 km"
2015 Lexus ES 350 4dr Sdn,"$22,995","Mileage 60,801 km"
2014 Cadillac XTS 4dr Sdn Platinum Collection w/1SL AWD,"$22,900","Mileage 105,000 km"
2016 Lincoln MKZ 4dr Sdn FWD,"$22,900","Mileage 30,000 km"
2018 Dodge Charger GT AWD,"$22,700","Mileage 57,400 km"
2014 Infiniti Q50 4dr Sdn Premium AWD,"$22,500","Mileage 75,000 km"
2017 Honda Accord Sedan 4dr I4 CVT Sport w/Honda Sensing,"$22,500","Mileage 36,000 km"
2013 BMW 5 Series 4dr Sdn 550i xDrive AWD,"$22,500","Mileage 55,000 km"
2016 Lexus IS 300 4dr Sdn AWD,"$22,500","Mileage 100,000 km"
2017 Honda Accord Sedan 4dr I4 CVT Sport,"$22,500","Mileage 54,800 km"
2015 Audi A6 4dr Sdn quattro 3.0T Technik,"$22,500","Mileage 104,228 km"
2014 BMW 3 Series 4dr Sdn 328i xDrive AWD,"$22,000","Mileage 114,000 km"
2015 Subaru WRX 4dr Sdn Man w/Sport-tech Pkg,"$22,000","Mileage 93,000 km"
2018 Honda Accord Sedan Sport CVT,"$22,000","Mileage 110,000 km"
2018 Subaru WRX Manual,"$22,000","Mileage 48,078 km"
2017 Honda Accord Sedan 4dr I4 CVT LX,"$22,000","Mileage 42,000 km"
2015 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,"$22,000","Mileage 75,000 km"
2013 Audi A4 4dr Sdn Auto Premium Plus quattro,"$22,000","Mileage 74,689 km"
2015 Acura TLX 4dr Sdn SH-AWD V6,"$21,999","Mileage 24,000 km"
2012 Mercedes-Benz S-Class 4dr Sdn S550 4MATIC LWB,"$21,900","Mileage 148,000 km"
2001 Audi S4 4dr Sdn Quattro AWD 2.7L Man,"$21,889","Mileage 281,000 km"
2013 Cadillac XTS 4dr Sdn Platinum Collection AWD,"$21,882","Mileage 126,013 km"
2017 Toyota Corolla 4dr Sdn CVT SE,"$21,600","Mileage 61,608 km"
2015 Cadillac ATS 4dr Sdn 2.0L Luxury AWD,"$21,500","Mileage 85,000 km"
2017 Honda Accord Sedan 4dr I4 CVT Sport w-Honda Sensing,"$21,500","Mileage 90,486 km"
2013 BMW 5 Series 4dr Sdn 550i xDrive AWD,"$21,500","Mileage 71,800 km"
2017 BMW 3 Series 4dr Sdn 320i xDrive AWD,"$21,394","Mileage 76,000 km"
2012 Subaru Impreza WRX 4dr Sdn WRX STI w/Tech Pkg,"$21,000","Mileage 130,000 km"
2018 Hyundai Elantra GL SE Auto,"$21,000","Mileage 40,000 km"
2014 Infiniti QX50 AWD 4dr Journey,"$21,000","Mileage 66,000 km"
2017 Chevrolet Malibu 4dr Sdn Premier w/2LZ,"$21,000","Mileage 40,112 km"
2016 Audi A4 4dr Sdn Auto Komfort plus quattro,"$20,999","Mileage 79,000 km"
2016 Subaru WRX 4dr Sdn Man,"$20,900","Mileage 73,000 km"
2018 Mazda Mazda3 GT Auto,"$20,500","Mileage 17,300 km"
2013 Mercedes-Benz C-Class 4dr Sdn C 350 4MATIC,"$20,300","Mileage 76,000 km"
2019 Volkswagen Jetta Highline Auto,"$20,000","Mileage 49,000 km"
2008 BMW 3 Series 4dr Sdn 335xi AWD,"$20,000","Mileage 30,000 km"
2016 BMW 3 Series 4dr Sdn 320i xDrive AWD,"$20,000","Mileage 75,000 km"
2018 Hyundai Tucson 2.0L Premium AWD,"$20,000","Mileage 60,000 km"
