points,title,description,taster_name,taster_twitter_handle,taster_photo,price,designation,variety,region_1,region_2,province,country,winery
86,Terrazas de Los Andes 2015 Reserva Malbec (Mendoza),"Gamy berry and plum aromas are matched if not outdone by heavy herbal scents. While this is round and full in feel, it tastes roasted and herbal, with minty berry flavors that suggest green. A gamy, herbal, peppery finish is par for this course. ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,20,Reserva,Malbec,Mendoza,,Mendoza Province,Argentina,Terrazas de Los Andes
86,Thirsty Owl Wine Company 2016 Dry Riesling (Finger Lakes),"Aromas of fuzzy apricot and steely lemon carry to the delicately framed palate. This is short on concentration but enjoyable with its crisp, dry finish. ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,15,Dry,Riesling,Finger Lakes,Finger Lakes,New York,US,Thirsty Owl Wine Company
86,Tournon by Michel Chapoutier 2013 Shays Flat Vineyard Shiraz (Pyrenees),"There's a bitter, chemical, oaky element to the nose of this wine that stands out above the dark fruit, chocolate and cola characters. The palate is equally arduous, with a good lick of acidity, sandy, savory tannins and sharp edges. ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,35,Shays Flat Vineyard,Shiraz,Pyrenees,,Victoria,Australia,Tournon by Michel Chapoutier
86,Via Romano 2014 Sangiovese (Shenandoah Valley (CA)),"This is a smooth and rounded red with friendly fruit flavors and hints of butter and vanilla. Medium bodied and not too concentrated, it's easy to sip. ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,30,,Sangiovese,Shenandoah Valley (CA),Sierra Foothills,California,US,Via Romano
86,Aljibes 2015 Red (Vino de la Tierra de Castilla),"A nose that's top-heavy with oak and menthol aromas includes hefty black-fruit scents and a touch of green. This is Cabernet Sauvignon, Merlot and Cabernet Franc, and it's densely centered and heavy on the palate, with no elegance to speak of. Compact oaky flavors of blackberry and cola finish with grinding tannins and residual grit. ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,20,,Bordeaux-style Red Blend,Vino de la Tierra de Castilla,,Central Spain,Spain,Aljibes
86,Apex 2016 Chardonnay (Columbia Valley (WA)),"Toast, custard and stone fruit aromas are at the fore. The palate is medium bodied, with abundant toasty flavors that dip in the middle before breaking up on the finish. The concentration doesn't seem all there. ",Sean P. Sullivan,@wawinereport,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Sean_Sullivan_300x450.jpg,15,,Chardonnay,Columbia Valley (WA),Columbia Valley,Washington,US,Apex
86,Baron Albert NV L'Emancipée Rose de Saignée Brut  (Champagne),"A soft rosé, this has an attractive light color and red-fruit flavors. It is ripe, rounded in texture with just the right acidity to balance. Drink now. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,100,L'Emancipée Rose de Saignée Brut,Champagne Blend,Champagne,,Champagne,France,Baron Albert
86,Benmarl 2016 Semi Dry Riesling (Finger Lakes),"A squeeze of pink grapefruit melds with grass and brisk spice on the nose of this light-bodied semidry offering. The palate is more juicy in nature, with ripe apple and pear melding with of lime zest. ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,18,Semi Dry,Riesling,Finger Lakes,Finger Lakes,New York,US,Benmarl
86,Bougrier 2017 Alain de la Treille Gamay-Grolleau  (Rosé d'Anjou),This sweet rosé is clean and fruity with wild-strawberry flavors. The crisp edge of acidity is immediately attractive and refreshing. Drink now. ,Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,13,Alain de la Treille Gamay-Grolleau,Rosé,Rosé d'Anjou,,Loire Valley,France,Bougrier
86,Bougrier 2017 Château du Jaunay Sur Lie  (Muscadet Sèvre et Maine),"Located in Le Landreau, this vineyard has produced a crisp, citrus and green-plum-flavored wine. It is given extra richness by the aging on lees after fermentation, which brings out the ripe fruit of the vintage and adds extra depth of flavor. Drink this attractive wine now. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,13,Château du Jaunay Sur Lie,Melon de Bourgogne,Muscadet Sèvre et Maine,,Loire Valley,France,Bougrier
